Algoritmo; tempo
NextFit;39000
NextFit;10300
NextFit;12800
NextFit;7000
NextFit;7000
NextFit;5200
NextFit;5200
NextFit;7400
NextFit;5200
NextFit;5800
NextFit;5200
NextFit;5200
NextFit;6600
NextFit;5300
NextFit;5300
NextFit;5200
NextFit;5800
NextFit;6600
NextFit;5800
NextFit;18700
NextFit;6200
NextFit;6500
NextFit;6900
NextFit;5300
NextFit;5400
NextFit;19400
NextFit;5300
NextFit;5200
NextFit;6000
NextFit;5300
NextFit;5300
NextFit;5300
NextFit;5200
NextFit;6600
NextFit;16100
NextFit;7300
NextFit;6400
NextFit;5300
NextFit;6600
NextFit;6700
NextFit;5100
NextFit;5100
NextFit;5000
NextFit;7100
NextFit;5000
NextFit;4900
NextFit;7800
NextFit;4800
NextFit;6600
NextFit;5000
NextFit;5800
NextFit;4900
NextFit;6400
NextFit;6300
NextFit;5900
NextFit;5100
NextFit;5000
NextFit;5100
NextFit;4900
NextFit;5000
NextFit;5700
NextFit;5700
NextFit;5000
NextFit;5000
NextFit;11800
NextFit;5200
NextFit;4900
NextFit;4900
NextFit;5600
NextFit;6200
NextFit;4800
NextFit;6900
NextFit;5900
NextFit;4800
NextFit;6200
NextFit;5100
NextFit;5100
NextFit;4900
NextFit;5200
NextFit;6600
NextFit;5800
NextFit;4800
NextFit;4800
NextFit;7600
NextFit;6800
NextFit;4700
NextFit;4700
NextFit;4700
NextFit;4900
NextFit;5700
NextFit;6100
NextFit;4700
NextFit;4700
NextFit;4700
NextFit;5000
NextFit;6100
NextFit;4700
NextFit;4800
NextFit;5700
NextFit;4800
NextFit;6900
NextFit;6400
NextFit;4700
NextFit;4900
NextFit;4700
NextFit;6300
NextFit;4900
NextFit;5400
NextFit;4800
NextFit;5400
NextFit;12500
NextFit;4800
NextFit;4800
NextFit;4900
NextFit;6200
NextFit;5800
NextFit;4400
NextFit;3600
NextFit;3500
NextFit;4100
NextFit;3400
NextFit;5700
NextFit;3400
NextFit;4400
NextFit;3900
NextFit;4800
NextFit;4800
NextFit;3500
NextFit;3400
NextFit;3300
NextFit;3300
NextFit;4700
NextFit;4100
NextFit;3700
NextFit;3300
NextFit;4400
NextFit;4800
NextFit;4100
NextFit;3500
NextFit;3500
NextFit;3500
NextFit;4700
NextFit;3400
NextFit;3400
NextFit;4800
