Algoritmo; tempo
NextFit;88300
NextFit;53600
NextFit;13300
NextFit;12300
NextFit;12800
NextFit;12100
NextFit;22500
NextFit;19700
NextFit;19700
NextFit;12900
NextFit;12600
NextFit;11900
NextFit;12000
NextFit;11800
NextFit;13300
NextFit;12500
NextFit;12000
NextFit;12700
NextFit;12100
NextFit;12000
NextFit;14200
NextFit;12000
NextFit;11900
NextFit;13600
NextFit;11900
NextFit;12800
NextFit;12800
NextFit;12000
NextFit;11700
NextFit;12200
NextFit;12800
NextFit;14200
NextFit;12000
NextFit;12100
NextFit;19900
NextFit;11800
NextFit;12000
NextFit;12600
NextFit;12100
NextFit;13200
NextFit;12000
NextFit;11700
NextFit;21700
NextFit;12200
NextFit;12300
NextFit;12200
NextFit;12100
NextFit;14600
NextFit;13100
NextFit;12000
NextFit;11900
NextFit;12900
NextFit;11900
NextFit;11900
NextFit;12100
NextFit;11900
NextFit;12900
NextFit;11800
NextFit;12700
NextFit;12800
NextFit;19400
NextFit;12600
NextFit;12100
NextFit;12700
NextFit;11800
NextFit;13600
NextFit;11900
NextFit;11900
NextFit;12800
NextFit;11800
NextFit;11900
NextFit;13300
NextFit;12500
NextFit;12900
NextFit;12100
NextFit;14600
NextFit;12600
NextFit;11900
NextFit;11700
NextFit;12500
NextFit;11800
NextFit;12700
NextFit;12100
NextFit;11900
NextFit;12800
NextFit;11900
NextFit;12500
NextFit;11700
NextFit;12100
NextFit;11900
NextFit;12900
NextFit;11900
NextFit;11900
NextFit;13300
NextFit;11800
NextFit;11900
NextFit;11900
NextFit;11900
NextFit;15000
NextFit;12200
NextFit;12600
NextFit;13100
NextFit;12900
NextFit;12000
NextFit;12800
NextFit;12000
NextFit;12200
NextFit;13500
NextFit;12300
NextFit;12400
NextFit;13100
NextFit;12000
NextFit;12500
NextFit;12500
NextFit;19000
NextFit;13500
NextFit;11800
NextFit;12200
NextFit;12800
NextFit;12300
NextFit;12300
NextFit;12400
NextFit;12300
NextFit;13400
NextFit;56100
NextFit;13000
NextFit;13100
NextFit;12000
NextFit;12600
NextFit;13100
NextFit;12200
NextFit;11900
NextFit;20700
NextFit;9300
NextFit;8400
NextFit;13500
NextFit;8700
NextFit;8000
NextFit;7600
NextFit;8200
NextFit;7800
NextFit;7900
NextFit;8100
NextFit;8900
NextFit;9900
NextFit;9200
NextFit;7700
NextFit;7800
NextFit;7900
NextFit;9000
NextFit;8300
NextFit;7700
NextFit;8500
NextFit;7800
NextFit;7900
NextFit;7900
NextFit;7800
NextFit;8400
NextFit;8000
NextFit;7800
NextFit;8400
NextFit;8200
NextFit;7800
NextFit;7900
NextFit;9700
NextFit;7900
NextFit;7900
NextFit;8200
NextFit;8700
NextFit;7800
NextFit;7900
NextFit;9900
NextFit;7900
NextFit;8000
NextFit;9100
NextFit;7900
NextFit;8100
NextFit;9100
NextFit;9300
NextFit;8000
NextFit;7900
NextFit;9100
NextFit;7800
NextFit;7900
NextFit;7800
NextFit;8800
NextFit;8500
NextFit;8000
NextFit;7800
NextFit;7900
NextFit;11200
NextFit;8000
NextFit;8700
NextFit;7800
NextFit;8900
NextFit;8100
NextFit;8400
NextFit;7800
NextFit;8000
NextFit;8500
NextFit;7900
NextFit;8000
NextFit;8200
NextFit;7900
NextFit;7800
NextFit;7700
NextFit;8200
NextFit;8100
NextFit;9200
NextFit;7800
NextFit;8500
NextFit;8100
NextFit;7800
NextFit;8600
NextFit;7800
NextFit;15300
NextFit;8000
NextFit;7900
NextFit;7800
NextFit;8300
NextFit;8500
NextFit;7900
NextFit;7800
NextFit;7800
NextFit;7900
NextFit;16600
NextFit;8000
NextFit;8800
NextFit;8000
NextFit;7800
NextFit;8000
NextFit;8100
NextFit;7900
NextFit;7800
NextFit;8300
NextFit;7700
NextFit;8500
NextFit;8500
NextFit;8200
NextFit;9200
NextFit;7900
NextFit;9500
NextFit;7800
NextFit;7800
NextFit;10200
NextFit;9000
NextFit;7800
NextFit;8100
NextFit;8000
NextFit;10400
NextFit;8100
NextFit;8400
NextFit;8500
NextFit;10000
NextFit;8000
NextFit;8000
NextFit;8800
NextFit;8100
NextFit;7800
NextFit;7900
NextFit;7800
NextFit;8600
NextFit;8200
NextFit;9000
NextFit;8000
NextFit;8200
NextFit;7800
NextFit;7900
NextFit;7700
NextFit;8300
NextFit;9300
NextFit;7900
NextFit;7700
NextFit;7900
NextFit;9100
NextFit;8200
NextFit;8100
NextFit;8800
NextFit;7700
NextFit;7800
NextFit;7600
NextFit;8000
NextFit;7800
NextFit;7700
NextFit;8700
NextFit;8400
NextFit;16700
NextFit;13000
NextFit;7300
NextFit;7100
NextFit;7400
NextFit;8200
NextFit;7200
NextFit;7100
NextFit;8000
NextFit;7200
NextFit;7100
NextFit;7000
NextFit;7900
NextFit;7300
NextFit;7200
NextFit;9000
NextFit;7500
NextFit;7700
NextFit;7200
NextFit;7700
NextFit;7200
NextFit;7100
NextFit;7900
NextFit;7100
NextFit;7200
NextFit;7700
NextFit;8000
NextFit;7800
NextFit;13400
NextFit;7200
NextFit;7200
NextFit;7000
NextFit;7000
NextFit;7900
NextFit;7300
NextFit;7100
NextFit;7000
NextFit;7100
NextFit;7100
NextFit;7500
NextFit;7800
NextFit;7100
NextFit;7900
NextFit;7700
NextFit;8300
NextFit;7000
NextFit;7200
NextFit;7600
NextFit;7100
NextFit;7000
