Algoritmo; tempo
NextFit;30100
NextFit;51100
NextFit;32300
NextFit;18200
NextFit;33500
NextFit;22200
NextFit;22700
NextFit;16100
NextFit;18600
NextFit;25600
NextFit;20500
NextFit;17400
NextFit;15800
NextFit;47700
NextFit;23400
NextFit;24900
NextFit;14800
NextFit;16700
NextFit;10400
NextFit;9800
NextFit;12200
NextFit;43600
NextFit;12100
NextFit;10200
NextFit;24600
NextFit;39700
NextFit;21000
NextFit;20600
NextFit;20500
NextFit;16500
NextFit;24400
NextFit;33000
NextFit;18000
NextFit;10400
NextFit;11500
NextFit;11600
NextFit;14700
NextFit;13800
NextFit;9800
NextFit;10000
NextFit;14200
NextFit;11100
NextFit;9800
NextFit;9900
NextFit;13900
NextFit;10000
NextFit;10100
NextFit;11100
NextFit;12000
NextFit;10100
NextFit;10900
NextFit;12300
NextFit;10800
NextFit;10900
NextFit;10000
NextFit;12200
NextFit;10800
NextFit;9900
NextFit;10200
NextFit;12500
NextFit;14100
NextFit;10000
NextFit;9900
NextFit;33500
NextFit;17200
NextFit;8000
NextFit;9200
NextFit;8500
NextFit;8000
NextFit;7800
NextFit;10200
NextFit;7800
NextFit;7800
NextFit;8900
NextFit;10600
NextFit;8700
NextFit;8200
NextFit;8100
NextFit;10500
NextFit;8000
NextFit;7700
NextFit;7900
NextFit;10400
NextFit;8000
NextFit;7800
NextFit;9000
NextFit;29600
NextFit;7900
NextFit;7700
NextFit;10500
NextFit;7800
NextFit;10300
NextFit;7800
NextFit;12000
NextFit;7900
NextFit;9100
NextFit;8000
NextFit;10600
NextFit;9200
NextFit;7600
NextFit;9800
NextFit;10700
NextFit;7800
NextFit;7900
NextFit;10300
NextFit;8000
NextFit;8900
NextFit;8100
NextFit;20100
NextFit;6500
NextFit;7600
NextFit;6200
NextFit;9400
NextFit;5900
NextFit;5900
NextFit;6000
NextFit;11900
NextFit;6100
NextFit;5900
NextFit;6000
NextFit;7000
NextFit;5900
NextFit;6800
NextFit;8300
NextFit;6700
NextFit;7000
NextFit;5700
NextFit;8200
NextFit;5800
NextFit;5700
NextFit;5700
NextFit;8500
NextFit;5700
NextFit;5700
NextFit;5700
NextFit;8200
NextFit;5700
NextFit;7200
NextFit;5700
NextFit;10500
NextFit;5800
NextFit;6600
NextFit;8200
NextFit;5800
NextFit;6500
NextFit;6300
NextFit;6800
NextFit;5800
NextFit;7200
NextFit;9100
NextFit;10000
NextFit;14000
NextFit;18000
NextFit;179700
