Algoritmo; tempo
NextFit;2274700
NextFit;191800
NextFit;121900
NextFit;80200
NextFit;57600
NextFit;69300
NextFit;61000
NextFit;59600
NextFit;68900
NextFit;57800
NextFit;34900
NextFit;32400
NextFit;35100
NextFit;32100
NextFit;34800
NextFit;29600
NextFit;35400
NextFit;23700
NextFit;25600
NextFit;22400
NextFit;22600
NextFit;21400
NextFit;25100
NextFit;35300
NextFit;24600
NextFit;25100
NextFit;25300
NextFit;23400
NextFit;25600
NextFit;24700
NextFit;28700
NextFit;27100
NextFit;22600
NextFit;24100
NextFit;23400
NextFit;23300
NextFit;22600
NextFit;24300
NextFit;22200
NextFit;22600
NextFit;23700
NextFit;23300
NextFit;22600
NextFit;23100
NextFit;23300
NextFit;22400
NextFit;23100
NextFit;23900
NextFit;27600
NextFit;20700
NextFit;20900
NextFit;20500
NextFit;23200
NextFit;25700
NextFit;22000
NextFit;23500
NextFit;23300
NextFit;22100
NextFit;23600
NextFit;22900
NextFit;24100
NextFit;23100
NextFit;27200
NextFit;35500
NextFit;23900
NextFit;22300
NextFit;23600
NextFit;23500
NextFit;22900
NextFit;22900
NextFit;24500
NextFit;22700
NextFit;23500
NextFit;29000
NextFit;21000
NextFit;20200
NextFit;21400
NextFit;20700
NextFit;33400
NextFit;23300
NextFit;22900
NextFit;22600
NextFit;24000
NextFit;22600
NextFit;22800
NextFit;25200
NextFit;23400
NextFit;22400
NextFit;27100
NextFit;23200
NextFit;23400
NextFit;23500
NextFit;23400
NextFit;22600
NextFit;23600
NextFit;22400
NextFit;23700
NextFit;23700
NextFit;22900
NextFit;25100
NextFit;24200
NextFit;23200
NextFit;24400
NextFit;23800
NextFit;23700
NextFit;23800
NextFit;24000
NextFit;22400
NextFit;23600
NextFit;27700
NextFit;22200
NextFit;18000
NextFit;16800
NextFit;17800
NextFit;16500
NextFit;17400
NextFit;16600
NextFit;16600
NextFit;23100
NextFit;12300
NextFit;10000
NextFit;10900
NextFit;18200
NextFit;16600
NextFit;31500
NextFit;11800
NextFit;10900
NextFit;12400
NextFit;10300
NextFit;11600
NextFit;11500
NextFit;11400
NextFit;10400
NextFit;12000
NextFit;10800
NextFit;11900
NextFit;10600
NextFit;11400
NextFit;10400
NextFit;11600
NextFit;10400
NextFit;11500
NextFit;10600
NextFit;11200
NextFit;10300
NextFit;12400
NextFit;10700
NextFit;11000
NextFit;11400
NextFit;11300
NextFit;10700
NextFit;11800
NextFit;10700
NextFit;11100
NextFit;10800
NextFit;11100
NextFit;10600
NextFit;11600
NextFit;10100
NextFit;11700
NextFit;11200
NextFit;11100
NextFit;10900
NextFit;11900
NextFit;10500
NextFit;11200
NextFit;10700
NextFit;11300
NextFit;10500
NextFit;11100
NextFit;10600
NextFit;11500
NextFit;10600
NextFit;11200
NextFit;10800
NextFit;11900
NextFit;10400
NextFit;11800
NextFit;10900
NextFit;11300
NextFit;10300
NextFit;11200
NextFit;10800
NextFit;11600
NextFit;10700
NextFit;11400
NextFit;9900
NextFit;11500
NextFit;10400
NextFit;11600
NextFit;11000
NextFit;11000
NextFit;11000
NextFit;11700
NextFit;10600
NextFit;11100
NextFit;10900
NextFit;11100
NextFit;11900
NextFit;11600
NextFit;10700
NextFit;11900
NextFit;11400
NextFit;11200
NextFit;10600
NextFit;11300
NextFit;10300
NextFit;11600
NextFit;10900
NextFit;11200
NextFit;10300
NextFit;11600
NextFit;10300
NextFit;11300
NextFit;13800
NextFit;11500
NextFit;10100
NextFit;11500
NextFit;10700
NextFit;11800
NextFit;11000
NextFit;11400
NextFit;11200
NextFit;11900
NextFit;10500
NextFit;11100
NextFit;11000
NextFit;11400
NextFit;10300
NextFit;11400
NextFit;10700
NextFit;10900
NextFit;10800
NextFit;11700
NextFit;10300
NextFit;11200
NextFit;10400
NextFit;11800
NextFit;10700
NextFit;11300
NextFit;10600
NextFit;11700
NextFit;10200
NextFit;11000
NextFit;10900
NextFit;11000
NextFit;10400
NextFit;11700
NextFit;10400
NextFit;12000
NextFit;11000
NextFit;11700
NextFit;10800
NextFit;11900
NextFit;10300
NextFit;11600
NextFit;11200
NextFit;11300
NextFit;10300
NextFit;11300
NextFit;10400
NextFit;11000
NextFit;10200
NextFit;11500
NextFit;10000
NextFit;11000
NextFit;10900
NextFit;11200
NextFit;10300
NextFit;11400
NextFit;10600
NextFit;18300
NextFit;16200
NextFit;11400
NextFit;10900
NextFit;11600
NextFit;10300
NextFit;11100
NextFit;10800
NextFit;18900
NextFit;10400
NextFit;12100
NextFit;10400
NextFit;11000
NextFit;10400
NextFit;11300
NextFit;10500
NextFit;11200
NextFit;10200
NextFit;11300
NextFit;10600
NextFit;11200
NextFit;10200
NextFit;12600
NextFit;10500
NextFit;11000
NextFit;11200
NextFit;11700
NextFit;10600
NextFit;12000
NextFit;11300
NextFit;11500
NextFit;10600
NextFit;11300
NextFit;11400
NextFit;11500
NextFit;10300
NextFit;11600
NextFit;11000
NextFit;11300
NextFit;10500
NextFit;12100
NextFit;10600
NextFit;11000
NextFit;11100
NextFit;11400
NextFit;10200
NextFit;11600
NextFit;10700
NextFit;10800
NextFit;10700
NextFit;11000
NextFit;10800
NextFit;11400
NextFit;10200
NextFit;11700
NextFit;11700
NextFit;11200
NextFit;10300
NextFit;11800
NextFit;10500
NextFit;11000
NextFit;11000
NextFit;11300
NextFit;10500
NextFit;11900
NextFit;10200
NextFit;11200
NextFit;10900
NextFit;11100
NextFit;10400
NextFit;11500
NextFit;10500
NextFit;12100
NextFit;11100
NextFit;11300
