Algoritmo; tempo
NextFit;70600
NextFit;28800
NextFit;23100
NextFit;23100
NextFit;25500
NextFit;22400
NextFit;23800
NextFit;20900
NextFit;21700
NextFit;22600
NextFit;20900
NextFit;22200
NextFit;20300
NextFit;22600
NextFit;21800
NextFit;20900
NextFit;22400
NextFit;22000
NextFit;27400
NextFit;22100
NextFit;21500
NextFit;20100
NextFit;21700
NextFit;19800
NextFit;23200
NextFit;21300
NextFit;20300
NextFit;21200
NextFit;22400
NextFit;20200
NextFit;22700
NextFit;25100
NextFit;20800
NextFit;22200
NextFit;21000
NextFit;21000
NextFit;21300
NextFit;29200
NextFit;21600
NextFit;23100
NextFit;20600
NextFit;22000
NextFit;21800
NextFit;21000
NextFit;21500
NextFit;21100
NextFit;23400
NextFit;22500
NextFit;19900
NextFit;22000
NextFit;21800
NextFit;20200
NextFit;22500
NextFit;21400
NextFit;21000
NextFit;21100
NextFit;20600
NextFit;19900
NextFit;22200
NextFit;20700
NextFit;28300
NextFit;22000
NextFit;21200
NextFit;29400
NextFit;27400
NextFit;19900
NextFit;22400
NextFit;20900
NextFit;21800
NextFit;23100
NextFit;20200
NextFit;22000
NextFit;21000
NextFit;21500
NextFit;21100
NextFit;24700
NextFit;20000
NextFit;22100
NextFit;20700
NextFit;22500
NextFit;21900
NextFit;21000
NextFit;21900
NextFit;21900
NextFit;20900
NextFit;21100
NextFit;21500
NextFit;20200
NextFit;22100
NextFit;21700
NextFit;22200
NextFit;21000
NextFit;20900
NextFit;21600
NextFit;22100
NextFit;20100
NextFit;22900
NextFit;20900
NextFit;21000
NextFit;21900
NextFit;23500
NextFit;22200
NextFit;21500
NextFit;28000
NextFit;22900
NextFit;24100
NextFit;20900
NextFit;22200
NextFit;23100
NextFit;20700
NextFit;21700
NextFit;22000
NextFit;20700
NextFit;28900
NextFit;19100
NextFit;12800
NextFit;14600
NextFit;17300
NextFit;7300
NextFit;18900
NextFit;8600
NextFit;15000
NextFit;7200
NextFit;6300
NextFit;23900
NextFit;8000
NextFit;6400
NextFit;7600
NextFit;7800
NextFit;6600
NextFit;7400
NextFit;7400
NextFit;6900
NextFit;7200
NextFit;6400
NextFit;8400
NextFit;7200
NextFit;6200
NextFit;7300
NextFit;7900
NextFit;8000
NextFit;23200
NextFit;7900
NextFit;7600
NextFit;7800
NextFit;8100
NextFit;14700
NextFit;8400
NextFit;7900
NextFit;15100
NextFit;7000
NextFit;6700
NextFit;6900
NextFit;7000
NextFit;7300
NextFit;7300
NextFit;7400
NextFit;6300
NextFit;7700
NextFit;7200
NextFit;6300
NextFit;7100
NextFit;6700
NextFit;7300
NextFit;7000
NextFit;6800
NextFit;8000
NextFit;6600
NextFit;6600
NextFit;7300
NextFit;7000
NextFit;6100
NextFit;7600
NextFit;6300
NextFit;6900
NextFit;7100
NextFit;6000
NextFit;7200
NextFit;7100
NextFit;6000
NextFit;6800
NextFit;6700
NextFit;6100
NextFit;6700
NextFit;6000
NextFit;7100
NextFit;7500
NextFit;6200
NextFit;7200
NextFit;6800
NextFit;6000
NextFit;6700
NextFit;7500
NextFit;6300
NextFit;7000
NextFit;7900
NextFit;6500
NextFit;6900
NextFit;6300
NextFit;7600
NextFit;7700
NextFit;6300
NextFit;6900
NextFit;7700
NextFit;6100
NextFit;6800
NextFit;6700
NextFit;6200
NextFit;7200
NextFit;5900
NextFit;6700
NextFit;7100
NextFit;5900
NextFit;7200
NextFit;7500
NextFit;6500
NextFit;7500
NextFit;6300
NextFit;6300
NextFit;7500
NextFit;6200
NextFit;7600
NextFit;7700
NextFit;6200
NextFit;6900
NextFit;7400
NextFit;6700
NextFit;6800
NextFit;6000
NextFit;6900
NextFit;7100
NextFit;6100
NextFit;7000
NextFit;7300
NextFit;6700
NextFit;7900
NextFit;7200
NextFit;6700
NextFit;6800
NextFit;6000
NextFit;7300
NextFit;7700
NextFit;7700
NextFit;21500
NextFit;7800
NextFit;7200
NextFit;7300
NextFit;8200
NextFit;7300
NextFit;8700
NextFit;7000
NextFit;7900
NextFit;7500
NextFit;7900
NextFit;7800
NextFit;7700
NextFit;8000
NextFit;8300
NextFit;8600
NextFit;7500
NextFit;8900
NextFit;8300
NextFit;7900
NextFit;8300
NextFit;7500
NextFit;7600
NextFit;8400
NextFit;6700
NextFit;8600
NextFit;8400
NextFit;14300
NextFit;7400
NextFit;8100
NextFit;7100
NextFit;7600
NextFit;9500
NextFit;6900
NextFit;8100
NextFit;7800
NextFit;7500
NextFit;8100
NextFit;8300
NextFit;7200
NextFit;19100
NextFit;6800
NextFit;7800
NextFit;24600
NextFit;7400
NextFit;7600
NextFit;8200
NextFit;7300
NextFit;12000
NextFit;21100
NextFit;6800
NextFit;8200
NextFit;6900
NextFit;17100
NextFit;7300
NextFit;7100
NextFit;11400
NextFit;20700
NextFit;6900
NextFit;8100
NextFit;7700
NextFit;6700
NextFit;7700
NextFit;6600
NextFit;7700
NextFit;7500
NextFit;7200
NextFit;7200
NextFit;7600
NextFit;7000
NextFit;7700
NextFit;7500
NextFit;6500
NextFit;8700
NextFit;7300
NextFit;8000
NextFit;7900
NextFit;6700
NextFit;8800
NextFit;7900
NextFit;14000
NextFit;8200
NextFit;6800
NextFit;6200
NextFit;7300
NextFit;6500
NextFit;7100
NextFit;7200
NextFit;6200
NextFit;8700
NextFit;21000
NextFit;6800
NextFit;8100
NextFit;7300
NextFit;7100
NextFit;7800
NextFit;7300
NextFit;7800
NextFit;8300
NextFit;7300
NextFit;8800
NextFit;7700
NextFit;7400
NextFit;8200
NextFit;8600
NextFit;6700
NextFit;7700
NextFit;7800
NextFit;7400
NextFit;7700
NextFit;6700
NextFit;7800
NextFit;8400
NextFit;7100
NextFit;8200
NextFit;8400
NextFit;6700
NextFit;8100
NextFit;7600
NextFit;36100
NextFit;119400
NextFit;6800
NextFit;7800
NextFit;8300
NextFit;6800
NextFit;7900
NextFit;8100
NextFit;7800
NextFit;7700
NextFit;6800
NextFit;7100
NextFit;7700
NextFit;6900
NextFit;18000
NextFit;9500
NextFit;11500
NextFit;8800
NextFit;7800
NextFit;7700
NextFit;8100
NextFit;7900
NextFit;7700
NextFit;9000
NextFit;7000
NextFit;8100
NextFit;8300
NextFit;7600
NextFit;7600
NextFit;8100
NextFit;7600
NextFit;7900
NextFit;6900
NextFit;8200
NextFit;8500
NextFit;7100
NextFit;7500
NextFit;8200
NextFit;7200
NextFit;7300
NextFit;7900
NextFit;6900
NextFit;8700
NextFit;7000
NextFit;8700
NextFit;9400
NextFit;7000
NextFit;16800
NextFit;9400
NextFit;13300
NextFit;9900
NextFit;8900
NextFit;12400
NextFit;12600
NextFit;9000
NextFit;7800
NextFit;9400
NextFit;8600
NextFit;8800
NextFit;11400
NextFit;7700
NextFit;10000
