Algoritmo; tempo
NextFit;31200
NextFit;8500
NextFit;5800
NextFit;3700
NextFit;3500
NextFit;3300
NextFit;3500
NextFit;3500
NextFit;3500
NextFit;3600
NextFit;9300
NextFit;3500
NextFit;4300
NextFit;3400
NextFit;3500
NextFit;3500
NextFit;4200
NextFit;4900
NextFit;3500
NextFit;3500
NextFit;5100
NextFit;3400
NextFit;4300
NextFit;3500
NextFit;3400
NextFit;3600
NextFit;4100
NextFit;6500
NextFit;3700
NextFit;3600
NextFit;3600
NextFit;4900
NextFit;3500
NextFit;3400
NextFit;3500
NextFit;4200
NextFit;3700
NextFit;3400
NextFit;5000
NextFit;3500
NextFit;5900
NextFit;3600
NextFit;4500
NextFit;3500
NextFit;3400
NextFit;4700
NextFit;4700
NextFit;3400
NextFit;3400
NextFit;3300
NextFit;3400
NextFit;3400
NextFit;3400
NextFit;4600
NextFit;11200
NextFit;4600
NextFit;3500
NextFit;3600
NextFit;3400
NextFit;3500
NextFit;4000
NextFit;6500
NextFit;3700
NextFit;3500
NextFit;3500
NextFit;3400
NextFit;3700
NextFit;5900
NextFit;5800
NextFit;4500
NextFit;3600
NextFit;4800
NextFit;3600
NextFit;3500
NextFit;3600
NextFit;4800
NextFit;3400
NextFit;3400
NextFit;3500
NextFit;3500
NextFit;3400
NextFit;3500
NextFit;3500
NextFit;5500
NextFit;3400
NextFit;3500
NextFit;4000
NextFit;4300
NextFit;3400
NextFit;3400
NextFit;4800
NextFit;3500
NextFit;3500
NextFit;4200
NextFit;3400
NextFit;3400
NextFit;4200
NextFit;4300
NextFit;4900
NextFit;3400
NextFit;3500
NextFit;3600
NextFit;3500
NextFit;3700
NextFit;3800
NextFit;5300
NextFit;3800
NextFit;4000
NextFit;3600
NextFit;3600
NextFit;3600
NextFit;5500
NextFit;4200
NextFit;4000
NextFit;3400
NextFit;3600
NextFit;3900
NextFit;3800
NextFit;4300
NextFit;3600
NextFit;4800
NextFit;3500
NextFit;4700
NextFit;3600
NextFit;3900
NextFit;5000
NextFit;3600
NextFit;4800
NextFit;3700
NextFit;3500
NextFit;3500
NextFit;3500
NextFit;3400
NextFit;3500
NextFit;3400
NextFit;4700
NextFit;3500
NextFit;3500
NextFit;4200
NextFit;3500
NextFit;4200
NextFit;3500
NextFit;4800
NextFit;3500
NextFit;4400
NextFit;3500
NextFit;3400
NextFit;6800
NextFit;4100
NextFit;3500
NextFit;4800
NextFit;3600
NextFit;3500
NextFit;3400
NextFit;4200
NextFit;3500
NextFit;4000
NextFit;5000
NextFit;3500
NextFit;3400
NextFit;3400
NextFit;3500
NextFit;3400
NextFit;4300
NextFit;3400
NextFit;3500
NextFit;3600
NextFit;10400
NextFit;4100
NextFit;3500
NextFit;4300
NextFit;3400
NextFit;5500
NextFit;4100
NextFit;3500
NextFit;3500
NextFit;3500
NextFit;3600
NextFit;3500
NextFit;5600
NextFit;3500
NextFit;3400
NextFit;4100
NextFit;20100
NextFit;10400
NextFit;2700
NextFit;2600
NextFit;4000
NextFit;29100
NextFit;3100
NextFit;2700
NextFit;2600
NextFit;2600
NextFit;2700
NextFit;5300
NextFit;2700
NextFit;2500
NextFit;2600
NextFit;2700
NextFit;3400
NextFit;2500
NextFit;2600
NextFit;2600
NextFit;2600
NextFit;2500
NextFit;2500
NextFit;2700
NextFit;2600
NextFit;2600
NextFit;3800
NextFit;2600
NextFit;2700
NextFit;2500
NextFit;2600
NextFit;2500
NextFit;2600
NextFit;3900
NextFit;2600
NextFit;2600
NextFit;2500
NextFit;2500
NextFit;2500
NextFit;2500
NextFit;2500
NextFit;4600
NextFit;4100
NextFit;2500
NextFit;2600
NextFit;2600
NextFit;2600
NextFit;2600
NextFit;3900
NextFit;2600
NextFit;2600
NextFit;2500
NextFit;2500
NextFit;2600
NextFit;2500
NextFit;2500
NextFit;3800
NextFit;2500
NextFit;2600
NextFit;3000
NextFit;2600
NextFit;2600
NextFit;2500
NextFit;3900
NextFit;2500
NextFit;2600
NextFit;2700
NextFit;3700
NextFit;2600
NextFit;2600
NextFit;3600
NextFit;2600
NextFit;2500
NextFit;2600
NextFit;2800
NextFit;2600
NextFit;2500
NextFit;2500
NextFit;6300
NextFit;2600
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1600
NextFit;1700
NextFit;3200
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1600
NextFit;1700
NextFit;1700
NextFit;1600
NextFit;3200
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;2200
NextFit;2900
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1600
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;2900
NextFit;1700
NextFit;1700
NextFit;1600
NextFit;1600
NextFit;1700
NextFit;3000
NextFit;1600
NextFit;1700
NextFit;1700
NextFit;1600
NextFit;1600
NextFit;2100
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1600
NextFit;1700
NextFit;1700
NextFit;2900
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1700
NextFit;1600
NextFit;1600
NextFit;2900
NextFit;1700
NextFit;1600
NextFit;1600
NextFit;1700
NextFit;1600
NextFit;1600
NextFit;2200
NextFit;3300
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1700
NextFit;1600
NextFit;1700
NextFit;2900
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;2400
NextFit;1700
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1700
NextFit;1600
NextFit;1700
NextFit;2800
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1700
NextFit;1600
NextFit;3000
NextFit;1700
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1700
NextFit;1600
NextFit;1700
NextFit;2900
NextFit;1700
NextFit;1700
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;2900
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1700
NextFit;1600
NextFit;10100
NextFit;1600
NextFit;3300
NextFit;2500
NextFit;1600
NextFit;6800
NextFit;1700
NextFit;1700
NextFit;1600
NextFit;3200
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;2800
NextFit;1700
NextFit;2200
NextFit;1600
NextFit;1600
NextFit;2200
NextFit;1600
NextFit;1700
NextFit;2800
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1700
NextFit;1600
NextFit;1700
NextFit;2900
NextFit;1700
NextFit;1700
NextFit;4100
NextFit;1600
NextFit;1700
NextFit;1700
NextFit;1600
NextFit;2900
NextFit;1700
NextFit;1600
NextFit;1700
NextFit;2200
NextFit;1700
NextFit;1600
NextFit;2900
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1700
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1600
NextFit;1500
NextFit;1600
NextFit;9100
NextFit;1300
NextFit;1400
NextFit;1400
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;2600
NextFit;1300
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;5900
NextFit;2800
NextFit;1500
NextFit;1500
NextFit;1400
NextFit;1300
NextFit;1400
NextFit;1400
NextFit;2600
NextFit;1800
NextFit;1400
NextFit;1300
NextFit;1400
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;2400
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1400
NextFit;2600
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;2400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1400
NextFit;1400
NextFit;2900
NextFit;1400
NextFit;1400
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;4500
NextFit;1500
NextFit;1300
NextFit;3600
NextFit;1400
NextFit;1400
NextFit;1500
NextFit;2600
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1400
NextFit;1300
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;3200
NextFit;1400
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;2400
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1700
NextFit;1300
NextFit;2600
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1400
NextFit;1300
NextFit;2800
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1400
NextFit;1400
NextFit;1400
NextFit;1300
NextFit;2500
NextFit;1500
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;2700
NextFit;2400
NextFit;1500
NextFit;1300
NextFit;1400
NextFit;1300
NextFit;1400
NextFit;1300
NextFit;2000
NextFit;2700
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1500
NextFit;1300
NextFit;2500
NextFit;2100
NextFit;1400
NextFit;2000
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;2700
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;2500
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;2500
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;2400
NextFit;1400
NextFit;1700
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1700
NextFit;2400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;7700
NextFit;900
NextFit;700
NextFit;800
NextFit;800
NextFit;700
NextFit;700
NextFit;800
NextFit;1300
NextFit;700
NextFit;1500
NextFit;700
NextFit;700
NextFit;700
NextFit;700
NextFit;800
NextFit;800
NextFit;700
NextFit;800
NextFit;800
NextFit;700
NextFit;800
NextFit;700
NextFit;700
NextFit;700
NextFit;1500
NextFit;700
NextFit;800
NextFit;800
NextFit;800
NextFit;800
NextFit;800
NextFit;1800
NextFit;700
NextFit;700
NextFit;700
NextFit;700
NextFit;700
NextFit;700
NextFit;1100
NextFit;1500
NextFit;800
NextFit;800
NextFit;700
NextFit;700
NextFit;700
NextFit;700
NextFit;1600
NextFit;800
NextFit;800
NextFit;800
NextFit;800
NextFit;700
NextFit;700
NextFit;800
NextFit;700
NextFit;800
NextFit;800
NextFit;800
NextFit;800
NextFit;700
NextFit;800
NextFit;1500
NextFit;700
NextFit;700
NextFit;700
NextFit;700
NextFit;700
NextFit;700
NextFit;1900
NextFit;800
NextFit;700
NextFit;700
NextFit;700
NextFit;800
NextFit;700
NextFit;700
NextFit;1700
NextFit;800
NextFit;800
NextFit;700
NextFit;700
NextFit;700
NextFit;800
NextFit;1500
NextFit;800
NextFit;700
NextFit;700
NextFit;800
NextFit;700
NextFit;700
