Titulo, Duracao (minutos)
Homem de Ferro, 126
O Incrivel Hulk, 112
Homem de Ferro 2, 124
Thor, 115
Capitao America O Primeiro Vingador, 124
Os Vingadores, 143
Homem de Ferro 3, 130
Thor O Mundo Sombrio, 112
Capitao America O Soldado Invernal, 136
Guardioes da Galaxia, 121
Vingadores Era de Ultron, 141
Homem-Formiga, 117
Capitao America Guerra Civil, 147
Doutor Estranho, 115
Guardioes da Galaxia Vol. 2, 136
Homem-Aranha De Volta ao Lar, 133
Thor Ragnarok, 130
Pantera Negra, 134
Vingadores Guerra Infinita, 149
Homem-Formiga e a Vespa, 118
Capita Marvel, 123
Vingadores Ultimato, 181
Homem-Aranha Longe de Casa, 129
WandaVision 9 episodios, 357
O Falcao e o Soldado Invernal 6 episodios, 324
Loki 6 episodios, 297
Viva Negra, 134
E se 9 episodios, 315
Shang-Chi e a Lenda dos Dez Aneis, 132
Eternos, 157
Gavio Arqueiro 6 episodios, 294
Homem-Aranha Sem Volta para Casa, 148
Doutor Estranho no Multiverso da Loucura, 126
Cavaleiro da Lua 6 episodios, 287
Thor Amor e Trovao, 119
Ms. Marvel 6 episodios, 271
Eu sou Groot 5 episodios, 25
She-Hulk 9 episodios, 300
Lobisomem na Noite, 54
Pantera Negra Wakanda Forever, 161
Guardioes da Galaxia Especial de Natal, 41
Homem-Formiga e a Vespa Quantumania, 124
Guardioes da Galaxia Vol. 3, 150
Invasao Secreta, 261
Eu sou Groot temporada 2 5 episodios, 19
