Algoritmo; tempo
NextFit;40000
NextFit;13200
NextFit;8200
NextFit;11100
NextFit;7100
NextFit;6000
NextFit;15700
NextFit;6300
NextFit;8200
NextFit;8500
NextFit;9300
NextFit;6500
NextFit;14600
NextFit;18600
NextFit;7100
NextFit;6600
NextFit;6500
NextFit;6500
NextFit;6600
NextFit;6600
NextFit;6000
NextFit;7500
NextFit;6400
NextFit;7800
NextFit;6200
NextFit;10200
NextFit;6600
NextFit;6200
NextFit;6200
NextFit;6400
NextFit;6000
NextFit;7400
NextFit;8100
NextFit;9600
NextFit;5900
NextFit;8100
NextFit;11800
NextFit;5900
NextFit;6300
NextFit;6300
NextFit;7500
NextFit;5600
NextFit;5600
NextFit;6200
NextFit;6200
NextFit;6600
NextFit;12000
NextFit;8300
NextFit;6500
NextFit;19700
NextFit;6700
NextFit;6300
NextFit;6000
NextFit;6600
NextFit;5900
NextFit;8200
NextFit;5700
NextFit;11300
NextFit;7000
NextFit;11600
NextFit;9400
NextFit;6400
NextFit;7800
NextFit;4800
NextFit;4700
NextFit;4900
NextFit;4500
NextFit;4700
NextFit;4000
NextFit;4000
NextFit;4300
NextFit;3800
NextFit;3800
NextFit;3900
NextFit;5500
NextFit;5000
NextFit;4500
NextFit;5700
NextFit;3600
NextFit;3500
NextFit;3500
NextFit;3800
NextFit;4800
NextFit;5500
NextFit;5800
NextFit;3900
NextFit;3400
NextFit;4600
NextFit;4100
NextFit;2800
NextFit;2600
NextFit;2600
NextFit;4000
NextFit;2600
NextFit;2500
NextFit;2600
NextFit;4400
NextFit;2700
NextFit;2600
NextFit;3900
NextFit;14700
NextFit;2600
NextFit;2500
NextFit;2500
NextFit;2600
NextFit;2500
NextFit;2600
NextFit;2600
NextFit;3500
NextFit;2600
NextFit;2500
NextFit;2500
NextFit;2500
NextFit;3200
NextFit;3900
NextFit;2600
NextFit;2500
NextFit;2600
NextFit;2600
NextFit;2500
NextFit;2600
NextFit;4300
NextFit;2600
NextFit;2500
NextFit;3100
NextFit;4000
NextFit;2600
NextFit;2600
NextFit;27100
NextFit;3700
NextFit;1900
NextFit;1800
NextFit;1800
NextFit;2500
NextFit;1900
NextFit;1800
NextFit;3700
NextFit;1800
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;2300
NextFit;1800
NextFit;1700
NextFit;3100
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;1800
NextFit;1800
NextFit;3700
NextFit;1800
NextFit;2900
NextFit;1900
NextFit;1700
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;2300
NextFit;1700
NextFit;1700
NextFit;3000
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;1800
NextFit;1600
NextFit;2900
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;2900
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;34900
NextFit;2100
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;3000
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;3300
NextFit;2900
NextFit;1800
NextFit;1800
NextFit;1800
NextFit;2000
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;2900
NextFit;1700
NextFit;2200
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;2900
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;2900
NextFit;1600
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;2900
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;2200
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;6000
NextFit;1800
NextFit;3100
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;2900
NextFit;1700
NextFit;1800
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;2000
NextFit;3400
NextFit;1900
NextFit;1800
NextFit;2000
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;3000
NextFit;3500
NextFit;2300
NextFit;2300
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;3100
NextFit;2100
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;3000
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;2200
NextFit;1900
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;3300
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;3000
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;1800
NextFit;1800
NextFit;1800
NextFit;2900
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;1700
NextFit;3000
NextFit;1800
NextFit;1800
NextFit;9800
NextFit;1400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1200
NextFit;1300
NextFit;2400
NextFit;1300
NextFit;1300
NextFit;1200
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;7200
NextFit;1300
NextFit;1300
NextFit;1700
NextFit;1300
NextFit;1300
NextFit;2500
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;2600
NextFit;1600
NextFit;1700
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;3800
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;3100
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1400
NextFit;1200
NextFit;1300
NextFit;1300
NextFit;2500
NextFit;1300
NextFit;1300
NextFit;1200
NextFit;1300
NextFit;1300
NextFit;1200
NextFit;2500
NextFit;1400
NextFit;1200
NextFit;1200
NextFit;1300
NextFit;1400
NextFit;1200
NextFit;1300
NextFit;2500
NextFit;1300
NextFit;1200
NextFit;2200
NextFit;1300
NextFit;1300
NextFit;1200
NextFit;2400
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
NextFit;1300
