Algoritmo; tempo
NextFit;50100
NextFit;8700
NextFit;4400
NextFit;3800
NextFit;3700
NextFit;3900
NextFit;5600
NextFit;3500
NextFit;4200
NextFit;3600
NextFit;10100
NextFit;3500
NextFit;3600
NextFit;5000
NextFit;3500
NextFit;3600
NextFit;3500
NextFit;3500
NextFit;3500
NextFit;3500
NextFit;5200
NextFit;4400
NextFit;3600
NextFit;4000
NextFit;3600
NextFit;3500
NextFit;3500
NextFit;3600
NextFit;5000
NextFit;3700
NextFit;3600
NextFit;4100
NextFit;3500
NextFit;3600
NextFit;7900
NextFit;6700
NextFit;4200
NextFit;3600
NextFit;3600
NextFit;3600
NextFit;3500
NextFit;3600
NextFit;3500
NextFit;9300
NextFit;3500
NextFit;3500
NextFit;3500
NextFit;3600
NextFit;3600
NextFit;11400
NextFit;5900
NextFit;3600
NextFit;3600
NextFit;4300
NextFit;3600
NextFit;3500
NextFit;3800
NextFit;6000
NextFit;3800
NextFit;4400
NextFit;4800
NextFit;6600
NextFit;4500
NextFit;3600
NextFit;3700
NextFit;5400
NextFit;3600
NextFit;3600
NextFit;3600
NextFit;3600
NextFit;3600
NextFit;3600
NextFit;5000
NextFit;3500
NextFit;4500
NextFit;4600
NextFit;3700
NextFit;3800
NextFit;3700
NextFit;3600
NextFit;5000
NextFit;3600
NextFit;3700
NextFit;6100
NextFit;3700
NextFit;5000
NextFit;4400
NextFit;6100
NextFit;3600
NextFit;3700
NextFit;3600
NextFit;3500
NextFit;3500
NextFit;3500
NextFit;3600
NextFit;3500
NextFit;3500
NextFit;3500
NextFit;3500
NextFit;3500
NextFit;5800
NextFit;3600
NextFit;5100
NextFit;3600
NextFit;3500
NextFit;3600
NextFit;3500
NextFit;3500
NextFit;4600
NextFit;5300
NextFit;4300
NextFit;3600
NextFit;4300
NextFit;4300
NextFit;3600
NextFit;3700
NextFit;3600
NextFit;8700
NextFit;3700
NextFit;3700
NextFit;3500
NextFit;4200
NextFit;3600
NextFit;3600
NextFit;5600
NextFit;5400
NextFit;3700
NextFit;3500
NextFit;3700
NextFit;3700
NextFit;5800
NextFit;4800
NextFit;5200
NextFit;4400
NextFit;4400
NextFit;3700
NextFit;4300
NextFit;3600
NextFit;6400
NextFit;5500
NextFit;3600
NextFit;4500
NextFit;3500
NextFit;3500
NextFit;3600
NextFit;3500
NextFit;3500
NextFit;3700
NextFit;3500
NextFit;7500
NextFit;3600
NextFit;4300
NextFit;3700
NextFit;3600
NextFit;5600
NextFit;3700
NextFit;3600
NextFit;3600
NextFit;3700
NextFit;5900
NextFit;3500
NextFit;5000
NextFit;5000
NextFit;4200
NextFit;4300
NextFit;4500
NextFit;3600
NextFit;3600
NextFit;3500
NextFit;4900
NextFit;3500
NextFit;3600
NextFit;3600
NextFit;3600
NextFit;3600
NextFit;3500
NextFit;5000
NextFit;4700
NextFit;3600
NextFit;3600
NextFit;3600
NextFit;5200
NextFit;3700
NextFit;3500
NextFit;3600
NextFit;4400
NextFit;3600
NextFit;4400
NextFit;4200
NextFit;5000
NextFit;3600
NextFit;4900
NextFit;3500
NextFit;3600
NextFit;3600
NextFit;3600
NextFit;3500
NextFit;3500
NextFit;3600
NextFit;3700
NextFit;3600
NextFit;3800
NextFit;5300
NextFit;3600
NextFit;3800
NextFit;3500
NextFit;5100
NextFit;4400
NextFit;3600
NextFit;3600
NextFit;3600
NextFit;4300
NextFit;3500
NextFit;27800
NextFit;3900
NextFit;2800
NextFit;2700
NextFit;2800
NextFit;2700
NextFit;2800
NextFit;3400
NextFit;4000
NextFit;2700
NextFit;2700
NextFit;2700
NextFit;2800
NextFit;2800
NextFit;2800
NextFit;11000
NextFit;13500
NextFit;2800
NextFit;2700
NextFit;2700
NextFit;2700
NextFit;2800
NextFit;2700
NextFit;2800
NextFit;2700
NextFit;2600
NextFit;2800
NextFit;4800
NextFit;2700
NextFit;2600
NextFit;4100
NextFit;2700
NextFit;2700
NextFit;2700
NextFit;2600
NextFit;2600
NextFit;3200
NextFit;3900
NextFit;2700
NextFit;29800
NextFit;5300
NextFit;2900
NextFit;2800
NextFit;2800
NextFit;2700
NextFit;4300
NextFit;2700
NextFit;2700
NextFit;2700
NextFit;2700
NextFit;2700
NextFit;2700
NextFit;4000
NextFit;3400
NextFit;2700
NextFit;2600
NextFit;2700
NextFit;2700
NextFit;2700
NextFit;2600
NextFit;4300
NextFit;2600
NextFit;2700
NextFit;2700
NextFit;2700
NextFit;2700
NextFit;2700
NextFit;4700
NextFit;2700
NextFit;2600
NextFit;2800
NextFit;2700
NextFit;5900
NextFit;2000
NextFit;1900
NextFit;1900
NextFit;1800
NextFit;1800
NextFit;1900
NextFit;1900
NextFit;1800
NextFit;1900
NextFit;3100
NextFit;1800
NextFit;1800
NextFit;2300
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;3200
NextFit;1700
NextFit;1700
NextFit;4200
NextFit;1900
NextFit;1700
NextFit;1800
NextFit;1800
NextFit;9200
NextFit;1800
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;3000
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;1800
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;3000
NextFit;1800
NextFit;1700
NextFit;1800
NextFit;1700
NextFit;1800
