Algoritmo; tempo
NextFit;200200
NextFit;74300
NextFit;37200
NextFit;130700
NextFit;24100
NextFit;20800
NextFit;24000
NextFit;20500
NextFit;20100
NextFit;26100
NextFit;53000
NextFit;28800
NextFit;42500
NextFit;22400
NextFit;20800
NextFit;24800
NextFit;20100
NextFit;22700
NextFit;21700
NextFit;20200
NextFit;20300
NextFit;20100
NextFit;19900
NextFit;20400
NextFit;21900
NextFit;22300
NextFit;20500
NextFit;22600
NextFit;20600
NextFit;23300
NextFit;20800
NextFit;20500
NextFit;23800
NextFit;22100
NextFit;20800
NextFit;21500
NextFit;20400
NextFit;20300
NextFit;19900
NextFit;21400
NextFit;20100
NextFit;21300
NextFit;19900
NextFit;27100
NextFit;37700
NextFit;20700
NextFit;20000
NextFit;21900
NextFit;23900
NextFit;20300
NextFit;22300
NextFit;20300
NextFit;20100
NextFit;21300
NextFit;21300
NextFit;19800
NextFit;20200
NextFit;20000
NextFit;20000
NextFit;21500
NextFit;21500
NextFit;21200
NextFit;21000
NextFit;20100
NextFit;20600
NextFit;20900
NextFit;21000
NextFit;20200
NextFit;21500
NextFit;21200
NextFit;24500
NextFit;20700
NextFit;20200
NextFit;20000
NextFit;20100
NextFit;19800
NextFit;23200
NextFit;20500
NextFit;20200
NextFit;20900
NextFit;20700
NextFit;20000
NextFit;19800
NextFit;22600
NextFit;21000
NextFit;21600
NextFit;20400
NextFit;20300
NextFit;21000
NextFit;20300
NextFit;20300
NextFit;21700
NextFit;20000
NextFit;20000
NextFit;22700
NextFit;20200
NextFit;19900
NextFit;21500
NextFit;21500
NextFit;20400
NextFit;21400
NextFit;20500
NextFit;19900
NextFit;30700
NextFit;20400
NextFit;22400
NextFit;20200
NextFit;20400
NextFit;20200
NextFit;21500
NextFit;22700
NextFit;21400
NextFit;21600
NextFit;22400
NextFit;22400
NextFit;21100
NextFit;21400
NextFit;21400
NextFit;23400
NextFit;21000
NextFit;22500
NextFit;20800
NextFit;20800
NextFit;21800
NextFit;61200
NextFit;23700
NextFit;21100
NextFit;24200
NextFit;21000
NextFit;20500
NextFit;20900
NextFit;20900
