Algoritmo; tempo
NextFit;53099
NextFit;18100
NextFit;13300
NextFit;13500
NextFit;12800
NextFit;12999
NextFit;12400
NextFit;13300
NextFit;12300
NextFit;12900
NextFit;12601
NextFit;12500
NextFit;13300
NextFit;12400
NextFit;19201
NextFit;18000
NextFit;19900
NextFit;18700
NextFit;23899
NextFit;22400
NextFit;18400
NextFit;19101
NextFit;20600
NextFit;20200
NextFit;26700
NextFit;37600
NextFit;20000
NextFit;21600
NextFit;20701
NextFit;22300
NextFit;26701
NextFit;19501
NextFit;18300
NextFit;18899
NextFit;20200
NextFit;17799
NextFit;19100
NextFit;17900
NextFit;19700
NextFit;19401
NextFit;18700
NextFit;18700
NextFit;20100
NextFit;18299
NextFit;18999
NextFit;19000
NextFit;19800
NextFit;18599
NextFit;17800
NextFit;18600
NextFit;16601
NextFit;18300
NextFit;17900
NextFit;18600
NextFit;17799
NextFit;18500
NextFit;17800
NextFit;19500
NextFit;18701
NextFit;17800
NextFit;19700
NextFit;17500
NextFit;18300
NextFit;19000
NextFit;19100
NextFit;18800
NextFit;20100
NextFit;18700
NextFit;19599
NextFit;29101
NextFit;19601
NextFit;20200
NextFit;19499
NextFit;19300
NextFit;18300
NextFit;20100
NextFit;18900
NextFit;20300
NextFit;26301
NextFit;19500
NextFit;19400
NextFit;20399
NextFit;19700
NextFit;19300
NextFit;17799
NextFit;16900
NextFit;17900
NextFit;17100
NextFit;18800
NextFit;17700
NextFit;18001
NextFit;17600
NextFit;17599
NextFit;17401
NextFit;16300
NextFit;19000
NextFit;18199
NextFit;22100
NextFit;18600
NextFit;17799
NextFit;16199
NextFit;20499
NextFit;18901
NextFit;20599
NextFit;19500
NextFit;21399
NextFit;19700
NextFit;20000
NextFit;19999
NextFit;20900
NextFit;36400
NextFit;18500
NextFit;15900
NextFit;16500
NextFit;7800
NextFit;6100
NextFit;6501
NextFit;11799
NextFit;7601
NextFit;21400
NextFit;6701
NextFit;6399
NextFit;24800
NextFit;6900
NextFit;6400
NextFit;7400
NextFit;6399
NextFit;6201
NextFit;6400
NextFit;7001
NextFit;6199
NextFit;7000
NextFit;6399
NextFit;5900
NextFit;6200
NextFit;6600
NextFit;6400
NextFit;6499
NextFit;6400
NextFit;6200
NextFit;7000
NextFit;15600
NextFit;5699
NextFit;6100
NextFit;5899
NextFit;5400
NextFit;5500
NextFit;6401
NextFit;5899
NextFit;5900
NextFit;6000
NextFit;5899
NextFit;5800
NextFit;5999
NextFit;5801
NextFit;6499
NextFit;6001
NextFit;5800
NextFit;6601
NextFit;7400
NextFit;6000
NextFit;6500
NextFit;6200
NextFit;5700
NextFit;5999
NextFit;5600
NextFit;6400
NextFit;5801
NextFit;5700
NextFit;6600
NextFit;5900
NextFit;5600
NextFit;5901
NextFit;6199
NextFit;5501
NextFit;6099
NextFit;5701
NextFit;5900
NextFit;5800
NextFit;5901
NextFit;5999
NextFit;5600
NextFit;5799
NextFit;5600
NextFit;6199
NextFit;5800
NextFit;5800
NextFit;5900
NextFit;6401
NextFit;5600
NextFit;6101
NextFit;5799
NextFit;6000
NextFit;5900
NextFit;5799
NextFit;5801
NextFit;5800
NextFit;6101
NextFit;5599
NextFit;6001
NextFit;5900
NextFit;5600
NextFit;6000
NextFit;6099
NextFit;6401
NextFit;5699
NextFit;6101
NextFit;5500
NextFit;5900
NextFit;5900
NextFit;5799
NextFit;5701
NextFit;5900
NextFit;5600
NextFit;6099
NextFit;6001
NextFit;5700
NextFit;6300
NextFit;6200
NextFit;20901
NextFit;6900
NextFit;6901
NextFit;6099
NextFit;6301
NextFit;6600
NextFit;6400
NextFit;6499
NextFit;6601
NextFit;6499
NextFit;6800
NextFit;6299
NextFit;6301
NextFit;9800
NextFit;6001
NextFit;5999
NextFit;6001
NextFit;6200
NextFit;6001
NextFit;6000
NextFit;5899
NextFit;6300
NextFit;5900
NextFit;6300
NextFit;6300
NextFit;5901
NextFit;5900
NextFit;6000
NextFit;6300
NextFit;5901
NextFit;6200
NextFit;5600
NextFit;6300
NextFit;6099
NextFit;7100
NextFit;6400
NextFit;6100
NextFit;6101
NextFit;6000
NextFit;6700
NextFit;5900
NextFit;6400
NextFit;6200
NextFit;6200
NextFit;6101
NextFit;6100
NextFit;6000
NextFit;6300
NextFit;5999
NextFit;7301
NextFit;6400
NextFit;6001
NextFit;5699
NextFit;5901
NextFit;6199
NextFit;5800
NextFit;5900
NextFit;5900
NextFit;6300
NextFit;5799
NextFit;14800
NextFit;6499
NextFit;6401
NextFit;6000
NextFit;5901
NextFit;6500
NextFit;5899
NextFit;5901
NextFit;5900
NextFit;6401
NextFit;6099
NextFit;6001
NextFit;6299
NextFit;5901
NextFit;6000
NextFit;13601
NextFit;8300
NextFit;18300
NextFit;6300
NextFit;5801
NextFit;6200
NextFit;5801
NextFit;5999
NextFit;6500
NextFit;6000
NextFit;5800
NextFit;5800
NextFit;6301
NextFit;6000
NextFit;6399
NextFit;6501
NextFit;6200
NextFit;5901
NextFit;5899
NextFit;6201
NextFit;6200
NextFit;5801
NextFit;5800
NextFit;6201
NextFit;5900
NextFit;5800
NextFit;5800
NextFit;6399
NextFit;6001
NextFit;5899
NextFit;5901
NextFit;6100
NextFit;5701
NextFit;5800
NextFit;6301
NextFit;6000
NextFit;13700
NextFit;5299
NextFit;5700
NextFit;5700
NextFit;5301
NextFit;5600
NextFit;5600
NextFit;5301
NextFit;5899
NextFit;5600
NextFit;5300
NextFit;5400
NextFit;5300
NextFit;5699
NextFit;5400
NextFit;5300
NextFit;5299
NextFit;5700
NextFit;5499
NextFit;5201
NextFit;5300
NextFit;5600
NextFit;5101
NextFit;5800
NextFit;5701
NextFit;5400
NextFit;5301
NextFit;5401
NextFit;20899
NextFit;5800
NextFit;5799
NextFit;6100
NextFit;6300
NextFit;5901
NextFit;6000
NextFit;6299
NextFit;5901
NextFit;5900
NextFit;6301
NextFit;6199
NextFit;6001
NextFit;5899
NextFit;5901
NextFit;6200
NextFit;6199
NextFit;5800
NextFit;6300
NextFit;5900
NextFit;5900
NextFit;5900
NextFit;6199
NextFit;5901
NextFit;6000
NextFit;5900
NextFit;6200
NextFit;11500
NextFit;7400
NextFit;17200
NextFit;6800
NextFit;5900
NextFit;5899
NextFit;6101
NextFit;5800
NextFit;5800
NextFit;5900
NextFit;6099
NextFit;5901
NextFit;6300
NextFit;6000
NextFit;6199
NextFit;5901
NextFit;6200
NextFit;6200
NextFit;6000
NextFit;5800
NextFit;5900
NextFit;6299
NextFit;5901
NextFit;6100
NextFit;5800
NextFit;6200
NextFit;5901
NextFit;5900
NextFit;6000
NextFit;6200
NextFit;5900
NextFit;6001
NextFit;6099
NextFit;6001
