Algoritmo; tempo
NextFit;1604000
NextFit;13900
NextFit;9900
NextFit;13400
NextFit;10600
NextFit;11500
NextFit;10100
NextFit;9900
NextFit;16600
NextFit;11300
NextFit;11000
NextFit;9700
NextFit;12200
NextFit;10000
NextFit;11100
NextFit;9800
NextFit;11200
NextFit;9600
NextFit;16000
NextFit;10200
NextFit;10500
NextFit;10600
NextFit;9700
NextFit;10700
NextFit;13400
NextFit;14800
NextFit;10300
NextFit;11200
NextFit;10600
NextFit;10700
NextFit;14100
NextFit;11200
NextFit;10100
NextFit;10700
NextFit;10800
NextFit;11500
NextFit;16100
NextFit;10300
NextFit;11100
NextFit;11100
NextFit;15800
NextFit;9700
NextFit;11600
NextFit;9800
NextFit;11300
NextFit;10100
NextFit;9700
NextFit;10400
NextFit;10400
NextFit;11000
NextFit;10000
NextFit;11800
NextFit;9600
NextFit;10300
NextFit;11200
NextFit;13400
NextFit;11100
NextFit;11400
NextFit;11600
NextFit;10300
NextFit;12700
NextFit;10900
NextFit;10900
NextFit;11700
NextFit;11100
NextFit;10300
NextFit;12000
NextFit;9800
NextFit;9800
NextFit;9100
NextFit;9700
NextFit;10300
NextFit;8900
NextFit;13000
NextFit;10900
NextFit;26500
NextFit;10900
NextFit;10300
NextFit;10600
NextFit;10100
NextFit;9100
NextFit;9400
NextFit;10100
NextFit;9700
NextFit;8700
NextFit;11700
NextFit;11500
NextFit;20100
NextFit;10400
NextFit;10500
NextFit;10800
NextFit;11700
NextFit;11900
NextFit;10100
NextFit;10500
NextFit;10300
NextFit;10300
NextFit;11500
NextFit;9900
NextFit;10700
NextFit;10400
NextFit;10700
NextFit;32800
NextFit;12500
NextFit;9700
NextFit;13300
NextFit;11100
NextFit;11600
NextFit;10900
NextFit;11700
NextFit;9600
NextFit;9000
NextFit;9400
NextFit;10600
NextFit;9500
NextFit;10500
NextFit;9800
NextFit;8900
NextFit;12100
NextFit;10300
NextFit;10600
NextFit;10600
NextFit;10600
NextFit;12600
NextFit;10000
NextFit;9800
NextFit;9100
NextFit;11500
NextFit;9700
NextFit;26600
NextFit;10000
NextFit;11300
NextFit;9800
NextFit;12000
NextFit;11100
NextFit;10400
NextFit;11200
NextFit;10200
NextFit;11000
NextFit;9900
NextFit;17500
NextFit;9200
NextFit;9700
NextFit;9400
NextFit;6200
NextFit;4800
NextFit;7100
NextFit;4800
NextFit;4900
NextFit;6100
NextFit;5500
NextFit;5600
NextFit;5100
NextFit;4600
NextFit;5900
NextFit;5500
NextFit;4900
NextFit;4500
NextFit;5300
NextFit;5300
NextFit;4600
NextFit;4500
NextFit;4500
NextFit;4800
NextFit;7200
NextFit;4900
NextFit;4700
NextFit;5500
NextFit;5200
NextFit;5100
NextFit;5800
NextFit;7500
NextFit;4400
NextFit;5000
NextFit;4300
NextFit;5900
NextFit;4600
NextFit;4800
NextFit;4300
NextFit;5300
NextFit;5500
NextFit;4200
NextFit;5300
NextFit;5400
NextFit;4800
NextFit;5500
NextFit;6300
NextFit;4300
NextFit;4800
NextFit;4300
NextFit;4700
NextFit;4200
NextFit;3700
NextFit;6200
NextFit;8800
NextFit;5600
NextFit;4100
NextFit;4000
NextFit;4000
NextFit;4000
NextFit;4100
NextFit;5800
NextFit;4000
NextFit;5100
NextFit;4500
NextFit;4100
NextFit;5500
NextFit;5500
NextFit;14400
NextFit;3900
NextFit;4300
NextFit;4900
NextFit;3700
NextFit;15900
NextFit;3800
NextFit;4400
NextFit;4500
NextFit;3300
NextFit;3100
NextFit;4900
NextFit;3100
NextFit;4400
NextFit;3700
NextFit;3500
NextFit;3100
NextFit;3600
NextFit;4100
NextFit;3200
NextFit;3600
NextFit;3200
NextFit;3600
NextFit;4800
NextFit;7400
NextFit;3100
NextFit;3000
NextFit;3000
NextFit;3900
NextFit;3800
NextFit;3100
NextFit;3100
NextFit;3400
NextFit;4900
NextFit;4800
NextFit;4000
NextFit;3100
NextFit;3300
NextFit;4300
NextFit;4100
NextFit;3400
NextFit;3600
NextFit;3700
NextFit;3200
NextFit;4900
NextFit;3200
NextFit;3200
NextFit;4700
NextFit;13400
NextFit;3400
NextFit;2000
NextFit;1900
NextFit;1900
NextFit;1900
NextFit;2800
NextFit;1900
NextFit;1800
NextFit;2300
NextFit;1900
NextFit;3200
NextFit;21000
NextFit;1900
NextFit;1900
NextFit;2900
NextFit;1800
NextFit;5700
NextFit;4300
NextFit;1900
NextFit;2600
NextFit;1800
NextFit;1900
NextFit;2100
NextFit;1900
NextFit;3500
NextFit;1900
NextFit;2600
NextFit;1900
NextFit;1900
NextFit;3200
NextFit;1900
NextFit;1900
NextFit;1900
NextFit;1900
NextFit;2800
NextFit;5700
NextFit;2200
NextFit;1900
NextFit;1900
NextFit;2700
NextFit;1800
NextFit;1800
NextFit;1800
NextFit;1800
NextFit;2200
NextFit;1900
NextFit;1800
NextFit;2700
NextFit;2600
NextFit;3300
NextFit;3700
NextFit;1900
NextFit;1800
NextFit;2200
